"Nom";"Entitat";"GVA - Codi Inventari";"Estat";"Tipus";"GVA - Codi Article";"GVA - Descripció Codi Article";"Número de sèrie";"Fabricant";"Model";"GVA - Espai Destí";"GVA - Descripció Espai Destí";
"VODAFONE MOBILE_WIFI_R219H (25898)";"12004217 - IES EL CAMINÀS";"70025898";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004412";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25899)";"12004217 - IES EL CAMINÀS";"70025899";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521001419";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25900)";"12004217 - IES EL CAMINÀS";"70025900";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21526000721";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25901)";"12004217 - IES EL CAMINÀS";"70025901";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602003289";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25902)";"12004217 - IES EL CAMINÀS";"70025902";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21603002292";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25903)";"12004217 - IES EL CAMINÀS";"70025903";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521003593";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25904)";"12004217 - IES EL CAMINÀS";"70025904";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005287";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25905)";"12004217 - IES EL CAMINÀS";"70025905";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000479";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25906)";"12004217 - IES EL CAMINÀS";"70025906";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005440";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25907)";"12004217 - IES EL CAMINÀS";"70025907";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21520005429";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25908)";"12004217 - IES EL CAMINÀS";"70025908";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524001651";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25909)";"12004217 - IES EL CAMINÀS";"70025909";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524000640";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25910)";"12004217 - IES EL CAMINÀS";"70025910";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21525002656";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25911)";"12004217 - IES EL CAMINÀS";"70025911";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000262";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25912)";"12004217 - IES EL CAMINÀS";"70025912";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000004";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25913)";"12004217 - IES EL CAMINÀS";"70025913";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005374";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25914)";"12004217 - IES EL CAMINÀS";"70025914";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521006191";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25915)";"12004217 - IES EL CAMINÀS";"70025915";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521006914";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25916)";"12004217 - IES EL CAMINÀS";"70025916";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518005355";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25917)";"12004217 - IES EL CAMINÀS";"70025917";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004630";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25918)";"12004217 - IES EL CAMINÀS";"70025918";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000422";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25919)";"12004217 - IES EL CAMINÀS";"70025919";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006111";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25920)";"12004217 - IES EL CAMINÀS";"70025920";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000191";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25921)";"12004217 - IES EL CAMINÀS";"70025921";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006137";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25922)";"12004217 - IES EL CAMINÀS";"70025922";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21528003331";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25923)";"12004217 - IES EL CAMINÀS";"70025923";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21602001913";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25924)";"12004217 - IES EL CAMINÀS";"70025924";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521000283";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25925)";"12004217 - IES EL CAMINÀS";"70025925";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004584";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25926)";"12004217 - IES EL CAMINÀS";"70025926";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005600";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25927)";"12004217 - IES EL CAMINÀS";"70025927";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005366";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25928)";"12004217 - IES EL CAMINÀS";"70025928";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527001239";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25929)";"12004217 - IES EL CAMINÀS";"70025929";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000834";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25930)";"12004217 - IES EL CAMINÀS";"70025930";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518000076";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25931)";"12004217 - IES EL CAMINÀS";"70025931";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521006127";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25932)";"12004217 - IES EL CAMINÀS";"70025932";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004733";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25933)";"12004217 - IES EL CAMINÀS";"70025933";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21525000525";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25934)";"12004217 - IES EL CAMINÀS";"70025934";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006116";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25935)";"12004217 - IES EL CAMINÀS";"70025935";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527003123";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25936)";"12004217 - IES EL CAMINÀS";"70025936";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518003522";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25937)";"12004217 - IES EL CAMINÀS";"70025937";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519005751";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25938)";"12004217 - IES EL CAMINÀS";"70025938";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521004387";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25939)";"12004217 - IES EL CAMINÀS";"70025939";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521001412";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25940)";"12004217 - IES EL CAMINÀS";"70025940";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005801";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
